email;first_name;last_name;password;album_number;average_grade
jan.kowalski@student.edu.pl;Jan;Kowalski;password123;123001;3.85
maria.nowak@student.edu.pl;Maria;Nowak;password123;123002;3.92
piotr.wisniewski@student.edu.pl;Piotr;Wiśniewski;password123;123003;3.75
anna.dabrowski@student.edu.pl;Anna;Dąbrowski;password123;123004;3.88
krzysztof.ptak@student.edu.pl;Krzysztof;Ptak;password123;123005;3.65
justyna.zielinska@student.edu.pl;Justyna;Zielińska;password123;123006;3.95
marcin.lewandowski@student.edu.pl;Marcin;Lewandowski;password123;123007;3.72
katarzyna.kaminska@student.edu.pl;Katarzyna;Kamińska;password123;123008;3.82
michal.kucharski@student.edu.pl;Michał;Kucharski;password123;123009;3.78
agnieszka.sokolowska@student.edu.pl;Agnieszka;Sokołowska;password123;123010;3.91
lukasz.borkowski@student.edu.pl;Łukasz;Borkowski;password123;123011;3.68
barbara.urbanczyk@student.edu.pl;Barbara;Urbańczyk;password123;123012;3.87
tomasz.wojcik@student.edu.pl;Tomasz;Wójcik;password123;123013;3.79
natalia.glowacka@student.edu.pl;Natalia;Głowacka;password123;123014;3.93
adam.skorski@student.edu.pl;Adam;Skorski;password123;123015;3.81
